Codigo;Autor;Editorial;Titulo;Año;
L-1195;;CEPAL, NN.UU.;Anuario estadístico de América Latina y el Caribe 1996;1997;
L-1196;MONTI, Mario;FMI;"Fiscal policy, economic adjustment, and financial markets; política fiscal, ajuste económico y mercado financial";1989;
L-1197;NOORDERHAVEN, Niels;;"Strategic decision making; la toma de decisiones estratégica";1995;
L-1198;GITTINGER, Price;BANCO MUNDIAL;"Economic analysis of agricultural projects; Análisis económico de proyectos agrícolas";1974;
L-1199;MUSGROVE, Philip;AN ECIEL STUDY;"Consumer behavior in Latin America; Conducta del consumidor en América Latina";1978;
L-119;URIOSTE FERNANDEZ DE CORDOVA, Miguel;ILDIS, CINCO;Estado anticampesino;1984;
L-11;TERRA, Juan Pablo;UNICEF;Situación de la infancia en América Latina y el Caribe;1979;
L-;WENNERGREN, BoydWHITAKER, Morris;;"The status of Bolivian agriculture; La posición de la agricultura boliviana";1975;
L-;HEWITT DE ALCANTARA, Cynthia;UNRISD;"Modernizing mexican agricultura socioeconomic implications of technological change 1940-1970; Modernización en la agricultura mexicana implicaciones socioeconómica del cambio tecnológico 1940-1970";1976;
L-1202;HARROD, RoyHAGUE, Douglas;;"International trade theory in a developing world; Teoría de la industria internacional, en un mundo desarrollado";1964;
L-1203;BOEKER, Paul H.;;Latin America_s turnaround privatization, foreign investment, and Growth. Transformar América Latina. Privatización, inversión extranjera y crecimiento;1993;
L-1204;;FMI;Annual report exchange restrictions. Reporte anual restricciones del cambio;1971;
L-1205;;SCIENTIFIC INFORMATION SERVICE;Hungarian scientific council for world economy. Consejo científico de Hungría para la economía mundial;1986;
L-1206;;CLACSO, ODCE;Repertoire des activites de recherche en matiere de developement en Amérique Latine registro de actividades de investigación sobre desarrollo en América Latina;1988;
L-1207;PELUPESSY, Wim;;"Agrarian transformation and economic adjustment in El Salvador; Transformación agraria y ajuste económico en El Salvador";1995;
L-1208;;DEPARTMENT OF TECHNICAL CO-OPERATION FOR DEVELOPMENT;Development problems and policy needs of small island economies. Problemas de desarrollo y necesidad de políticas de economías de islas pequeñas;1983;
L-1209;MAX-NEEF, Manfred A;DAG HAMMARSKJOLD FOUNDATION;"Fron the outside looking in experiences in _Barefoot economics`; Desde la mirada exterior en experiencias en economías descalzas";1982;
L-120;SANCHEZ ALBAVERA, Fernando;DESCO;Minería, capital transnacional y poder en el Perú;1981;
L-1210;;DEPARTMENT OF TECHNICAL CO-OPERATION FOR DEVELOPMENT;Efficient implementation of development plans. Implementación eficiente de planes de desarrollo;1986;
L-1211;TUTINO, John;PRINCETON UNIVERSITY PRESS;From insurrection to revolution in México. Desde la insurreción hasta la revolución en México;1988;
L-1212;MIRO, CarmenPOTTER, Joseph E.;;Population policy. Políticas de población;1980;
L-1213;DIERCKXSENS, Win;UNIVERSIDAD NACIONAL DE HEREDIA;Cuadernos de política económica impacto del ajuste estructural sobre la mujer trabajadora en Costa Rica;1992;
L-1214;CHEVALIER, Francois;UNIVERSITY OF CALIFORNIA PRESS;Land and society in colonial México. Tierra y sociedad en México colonial;1982;
L-1215;UTTING, Peter;UNRISD;"Economic adjustment under the sandinistas policy reform, food security and livelohood in Nicaragua; Bajo ajuste económico de sandinistas. Reforma política, seguridad alimentaria y subsistencia en Nicaragua";1991;
L-1216;CHRISTENSEN, Hanne;UNRISD;"The reconstruction of Afganistan a chance for rural Afghan women; La reconstrucción de Afganistán. Un cambio de la mujer afgana rural";1990;
L-1217;;UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO;Institute for social research. Instituto de Investigaciones Sociales;1992;
L-1218;ZAMMIT, AnnGHAI, DharamTIRUCHELVAMNeelanTURNER, Bryan;UNRISD;Hungary in transition from socialism to capitalism?. Hungría en transición desde el socialismo al capitalismo?;1990;
L-1219;PAULINO, Leonardo;;Food in the third world past trends and projections to 2000. Alimentación en el Tercer Mundo tendencia al pasado y proyecciones al 2000;1986;
L-1224;SOMMER, Robert;PRENTICE HALL;Personal space the behavioral basis of design. Espacio personal la base de la conducta de diseño;1969;
L-1225;AGUILERA KLINK, FedericoALCANTARA, Vicent;ICARIAFUEHM;De la economía ambiental a la economía ecológica;1994;
L-1226;PAGE, Sheila;OVERSEAS DEVELOPMENT INSTITUTE;EuropeEuropa 1992 and the developing world. Europa 1992 y el mundo en desarrollo;1992;
L-1227;JEMIO, Luis Carlos;;Micro and Macroeconomic adjustment in Bolivia (1970-89) Micro y macroeconomía el ajuste en Bolivia (1970-89);1993;
L-1228;GODDARD, Roe C.PASSE-SMITH, JohnCONKLIN, John G.;;"International political economy; Economía política internacional";1995;
L-1229;LIDNERT, Paul vanVERKOREN, Otto;;Bolivia a guide to the people, politics and culture. Bolivia una guía para el pueblo, políticas y cultura;1994;
L-1230;JHA, Raghbendra;;"Macroeconomics for developing countries; Macroeconomía para países en desarrollo";1994;
L-1231;BOXWELL, Robert J.;;Benchmarking para competir con ventaja;1995;
L-1232;MONKS, Joseph G.;;Administración de operaciones;1994;
L-1233;WOMACK, James P.JONES, Daniel T.ROOS, Daniel;;Máquina que cambio el mundo, La;1995;
L-1234;O_GRADY, P.J.;INSTITUTO DE ESTUDIOS SUPERIORES DE LA EMPRESA;Just-in-time una estrategia fundamental para los jefes de producción;1993;
L-1235;ACOSTA CHEGEIN, EdgardoCAMARGO DE BRAVO, RosaMORATO BALDI, Jaime R.;UNIVERSIDAD DEL NORTE;"Informe de la investigación. ""La microempresa de producción en Barranquilla""";1991;
L-1239;AGUILAS R., Alberto;AGRUCO, CIP, PBRTAS;Guía bibliográfica sobre tubérculos andinos en Bolivia ;1997;
L-123;;BID;Progreso económico y social en América Latina. Informe 1990;1990;
L-1240;ICHIMURA, Shinichi;INTERNATIONAL CENTER FOR ECONOMIC GROWTH;"The role of Japan in Asia; El rol de Japón en Asia";1993;
L-1243;;ECIEL;Resumen del decimonoveno seminario del Programa de Estudios Conjuntos sobre Integración Económica Latinoamericana;1973;
L-1244;CARRASCO B., Oscar;UMSS;Notas sobre política económica;1993;
L-1245;;UMSS;Síntesis académica anual 1992;1992;
L-1246;DELGADO B., Raúl;UMSS;Informe técnico consumo y mercado de tubérculos andinos;1996;
L-1247;ESPINOZA M., Julio R.;IESE-UMSS;Circuitos naturales y mecanismos de intercambio no monetarios, para la adopción de variedad de tubérculos andinos;1996;
L-1248;;IBTA, PROINPA;Catálogo boliviano de cultivadores de papa nativa;1993;
L-1249;;IBTA, PROINPA;Catálogo boliviano de cultivadores de papa nativa;1994;
L-124;HERRERA, LigiaPECHT, Waldomiro;BID, CELADE;Crecimiento urbano de América Latina;1976;
L-1250;;DOCIP;Etnocidio y etnodesarrollo;1981;
L-1255;SANCHEZ C., Wálter;IESEUMSS;Hacienda y conflicto social en el valle alto cochabambino aportes para su comprensión (1860-1930);1994;
L-1256;CARRASCO BRAÑES, J. Oscar;IESE-UMSS;Política económica y estrategia regional de desarrollo sostenible de Cochabamba;1993;
L-1257;;OEA;Programa de adiestramiento en formulación y evaluación de proyectos CETREDE. Departamento de Desarrollo Regional;1975;
L-1258;MANKIW, Gregory;;"Macroeconomics; Macroeconomía";1994;
L-1259;HARGREAVES HEAP, Shaun P.;;"The new keynesian macroeconomics; La nueva macroeconomía keynesiana";1992;
L-125;PINZAS GARCIA, Teobaldo;IEP;Economía peruana 1950-1978 ensayo bibliográfico;1981;
L-1260;KRUEGER, Anne O.;INTEGRATING NATIONAL ECONOMIES;Trade policies and developing nations. Política industrial y naciones desarrolladas;1995;
L-1261;KRUGMAN, Paul R.OBSTFELD, Maurice;;Economía internacional teoría y política;1995;
L-1262;MUÑOZ CIDAD, Cándido;;Estructura económica internacional introducción al crecimiento económico moderno;1992;
L-1263;TODARO, Michael P.;;Economic development. Desarrollo económico;1997;
L-1264;AGENOR, Pierre-RichardMONTIEL, Peter J.;PRINCETON UNIVERSITY PRESS;Development macroeconomics. Macroeconomías del desarrollo;1996;
L-1265;ARNTZEN, J.HEMMER, I.KUIK, O.;GATT, OECD, UNCTAD;International trade and sustainable development. Industria internacional y desarrollo sostenible;1992;
L-1266;CARDOSO, ElianaHELWEGEANN;FONDO DE CULTURA ECONOMICA;Economía latinoamericana diversidad, tendencias y conflictos;1993;
L-1269;ANAYA C., Cecilia;;Economía campesina en Cochabamba un recuento analítico (extracto de tesis orientado a las conceptualizaciones en torno al campesinado);1993;
L-126;SALAZAR-CARRILLO, Jorge;ECIEL;Precios y poder adquisitivo en América Latina;1980;
L-1270;;CORDECOUMSS;I Curso Nacional de formulación y evaluación de proyectos de desarrollo rural integrado. Estudios y proyectos a nivel de perfil (volúmen Z);1978;
L-1271;SORIA GALVARRO R., Jorge;UMSS;Proyecto de estatuto orgánico de la Universidad Boliviana;1974;
L-1273;;ILDIS;Temas laborales. La relocalización;1988;
L-1274;MORALES A., Juan Antonio;ILDIS;Estudio diagnóstico debate. Precios, salarios y política económica durante la alta inflación boliviana de 1982 a 1985;1901;
L-1275;;ILDIS;Debate laboral. Centralidad del salario y negociación colectiva;1990;
L-1276;FERNANDEZ M., Miguel;ILDIS;Estudio diagnóstico debate. La relación empleo salarios (crítica a la política de empleo fundada en la teoría neoclásica);1988;
L-1277;;ILDIS;Debate laboral. Negociación colectiva condiciones y medio ambiente de trabajo;1991;
L-1278;;CEP-UMSS;Boletín de población. Departamento de Cochabamba. Información sobre población y vivienda 1976 - 1992;1901;
L-1279;;CEP-UMSS;Boletín de población. Diagnóstico de la vivienda en la conurbación de Cochabamba;1995;
L-127;MEDRANO, ARUIZ P., Gonzalo;UMSSFUL;Gas, petróleo y miseria un esclarecedor debate sobre los recursos naturales;1979;
L-1280;;CENTRO DE ESTUDIOS ECONOMICOS Y SOCIALES;Bolivia entre la hiperinflación y la recesión;1901;
L-1281;WAINERMAN, Catalina H.BARCH DE RAIJMAN, Rebeca;;Sexismo en los libros de lectura de la escuela primaria;1987;
L-1282;DELGADO B., RaúlMERUVIA, Fanor;IESE-UMSS;"Subproyecto; ""Consumo y mercado de oca, papalisa e isaño"" primer informe técnico de mayo a diciembre de 1993";1993;
L-1283;DELGADO BURGOA, RaúlVILLARROEL COCA, TitoESPINOZA MERCADO, Julio;IESE-UMSSCIP;Informe técnico de avance de investigación (agosto 1994 - marzo 1995) Sub proyecto R5-002;1995;
L-1284;;GACETA OFICIAL DE BOLIVIA;Ley Nº 1008. Ley del Régimen de la Coca y Sustancias Controladas;1988;
L-1287;;CEPALNN.UU.;Estudio económico de América Latina y el Caribe 1995-1996;1996;
L-1288;;NN.UU.-CEPAL;Quince años de desempeño económico. América Latina y El Caribe 1980 - 1995;1996;
L-1289;POZO, MelvinMAXWELL, Simón;CENTRO DE INVESTIGACION AGRICOLA TROPICAL;Documento de trabajo. Bibliografía agro-económica anotada de Santa Cruz;1979;
L-128;GONZALEZ NAVALES, Flavio;;Contabilidad mecanizada;1975;
L-1290;MAXWELL, Simón;CENTRO DE INVESTIGACION AGRICOLA TROPICAL;Documento de trabajo. Colonos marginalizados al norte de Santa Cruz, venidas de escape de la crisis del barbecho ;1979;
L-1291;;INE;Estadísticas industriales 1973;1973;
L-1292;;INE;Estadísticas industriales 1974;1974;
L-1293;;INE;Estadísticas industriales 1972;1972;
L-129;SATET, Robert;;Previsión al servicio de la empresa por el método del control presupuestario ;1955;
L-12;ORTIZ MENA, Antonio;BID;América Latina en desarrollo una visión desde el BID;1975;
L-1300;;INE;Boletín de transacciones exteriores de Bolivia;1981;
L-1301;;BID;Progreso económico y social en América Latina. Informe 1994. Descentralización fiscal tema especial;1994;
L-1302;;INEVICEMINISTERIO DE PRESUPUESTO Y CONTADURIA;República de Bolivia. Ejecución presupuestaria de gobiernos municipales. Gestión 1996;1997;
L-1304;RIBERA, JaumePRATS, Ma. Julia;EUROPEAN OPERATIONS MANAGEMENT ASSOCIATION;Managing service operations lesson from the service and the manufacturing sectors. Operaciones de servicio directivo Lecciones desde el servicio y el sector manufacturero;1997;
L-1305;;UMSS;Utilización de los ecosistemas en Ganaderías;1901;
L-1307;MENDEZ MORALES, Armando;BANCO CENTRAL DE BOLIVIA;Estimación empírica de la demanda del dinero en Bolivia;1977;
L-1308;;INE;Clasificación de actividades económicas de Bolivia;1974;
L-1309;;CORPORACION REGIONAL DE DESARROLLO;Estudios e informes institucionales existentes en el sistema de informaciones;1979;
L-130;GRUNHAGEN, Frank;;Hacia las fronteras del conocimiento;1982;
L-1310;SCHOEDER, Roger G.;;Administración de operaciones toma de decisiones en la función de operaciones;1992;
L-1316;POZO, María Esther;CETM;Sobreviviendo más allá del miedo niñas en la calle de la ciudad de Cochabamba;1993;
L-1317;;INE;Resúmen anual del Indice de Precios al Consumidor 1996;1997;
L-1318;PAULSON, SusanCRESPO, Mónica;;Teorías y prácticas de génerouna conversación dialéctica;1997;
L-1319;;BID;Exportaciones de los países de la ALALC agrupadas según la clasificación uniforme para el comercio internacional (CUCI), modificada;1969;
L-131;MURATORIO, Blanca;CIESE;Etnicidad, evangelización y protesta en el Ecuador una perspectiva antropológica;1981;
L-1321;DERMISAKI PEREDO, PabloCESPEDES ARGANDOÑA, GuidoARZE BARRIENTOS, Ramiro;INSTITUTO DE ESTUDIOS INTERNACIONALES;El desarme, la integración y la autodeterminación de los pueblos;1984;
L-1322;LEDO GARCIA, María del CarmenESCOBAR SALGUERO, Patricia;CEP-UMSS;Documentos. Condiciones de vida y lineas de pobreza (resúmen ejecutivo);1988;
L-1323;HAUGE, GabrielHOFFMEYER, Erik;FUNDATION THE PER JACOBSSON;Mercado internacional de capitales y el sistema monetario internacional, El;1978;
L-1324;SCHWARZ, Stuart B.;CAMBRIDGE UNIVERSITY PRESS;Sugar plantations in the formation of Brasilian society Bahia, 1550-1835Plantaciones de azúcar en la formación de sociedad brasilera Bahía, 1550-1835;1985;
L-1325;;UNIVERSIDAD MAYOR DE SAN SIMON;Programa analítico. Carrera Administracion de empresas;1997;
L-1327;;ILDIS;Foro económico Estabilidad, desarrollo y ajustes a la nueva política económica (Santa Cruz);1901;
L-1328;;INE;Estadísticas industriales año 1975;1975;
L-132;GOODMAN, LeoKEYFITZ, NathanPULLUM, Thomas;CELADE;Formación de la familia y la frecuencia con que se dan diversas relaciones de parentesco;1975;
L-1330;;SERVICIO CULTURAL E INFORMATIVO DE LOS ESTADOS UNIDOS EN BOLIVIA;Agenda de la política exterior de los Estados Unidos de América Clinton y el Congreso las tareas futuras;1997;
L-1331;;INE;Descriptores para el desarrollo;1971;
L-1332;;MINISTERIO DE INDUSTRIA Y COMERCIO;Bolivia un nuevo campo para inversiones. Ley de Inversiones, Ley de Hidrocarburos;1972;
L-1333;STEIN, Stanley J.;;Vassouras a Brazilian coffe county, 1850-1990. The roles of planter and slave in a plantation society. Distrito territorial del café en Brasil, 1850-1900. Los roles del colono y esclavo en la sociedad hacendal;1985;
L-1334;;;Fluctuaciones económicas e historia social;1962;
L-1335;;CONGRESO NACIONAL DE BOLIVIA;Decreto Supremo No. 13055: Estatuto Orgánico del Instituto Boliviano de Turismo;1975;
L-1336;FLORESCANO, Enrique;;Haciendas, latifundios y plantaciones en América Latina;1975;
L-1337;ARTERO R., Mauricio;;Planta industrializadora de almidon de maíz capacidad 5 toneladas de molienda por turno de 8 horas;1966;
L-1338;DEVES, EduardoPOZO, José Miguel;;Intelectuales y científicos chilenos. Diccionario de personas dedicadas en Chile a las ciencias, las humanidades y las artes;1992;
L-1339;FORRESTER, Jay W.;;Dinámica industrial;1972;
L-133;MUÑOZ AMATO, Pedro;FONDO DE CULTURA ECONOMICA;Introducción a la administración pública;1966;
L-1340;MARTINE, George;CELADE;Formación de la familia y marginalidad urbana en Río de Janeiro;1975;
L-1341;;UMSS-DISYT;Programa formación-investigación-acción para el desarrollo regional-1985;1985;
L-1342;OBREGON BOTERO, Gabriel;;Aquel Pepe Cordova;1982;
L-1343;RAVIGNANI, Emilio;;Boletín del Instituto de Historia Argentina y Americana;1989;
L-1346;AYALA ZAMBRANA, Jorge;;Empresa avícola universitaria productora de pollos parrilleros (proyecto de factibilidad);1976;
L-1347;;LINDERT, Paul VanVERKOREN, Otto;Métodos de investigación para la planificación regional;2000;
L-1348;"LINDERT, Paul Van; VERKOREN, Otto";PROMEC;Métodos de investigación para la planificación regional;2001;
L-134;MANRIQUE, Irma;;Política monetaria en la estrategia del desarrollo su impacto en América Latina y México;1979;
L-1352;BOYD WENNERGREN, E.BELWERTH GARDNER, B.LEBARON, AllenHUNNARD, Deon;;Planificación agrícola y evaluación de proyectos;1971;
L-1353;;UMSS-CEPFENACRECODCIDREINE;Encuesta por enumeración completa resultados provisionales (zona I) ciudad de Cochabamba - 1983;1983;
L-1354;;UMSS;Propuesta organizacional para el comedor universitario;1991;
L-1355;AGENOR, Pierre-RichardMONTIEL, Peter J.;;Scope and development macroeconomics. Alcance y macroeconomías del desarrollo;1901;
L-1356;KIGUEL, Miguel A.,LIVIATAN, Nissan;BANCO MUNDIAL;When do heterodox stabilization programs work?. Cuando hacer trabajos y programas de estabilización heterodoxo?;1992;
L-1357;GAVIN, MichaelPEROTTI, Roberto;IICE;Divulgación económica La política fiscal latinoamericana;1997;
L-1358;MARTNER, Ricardo;;Indicadores de la política fiscal diseño y aplicaciones para Chile;1996;
L-1359;;FMI;Occasional paper. Reinvigorating growts in developing countries. Documento ocasional. Crecimiento revigorizante en paises desarrollados;1996;
L-135;VEGA LOPEZ, Oscar;;Bolivia causas de la crisis económica en el período 1971 - 1979 de la dictadura a la democracia;1980;
L-1360;ROSENTHAL, Gert;;<La< evolución de las ideas y las políticas para el desarrollo;1996;
L-1361;FFRENCH-DAVIS, Ricardo;;Políticas macroeconómicas para el crecimiento;1996;
L-1362;ROSALES V., Osvaldo;;Política económica, instituciones y desarrollo productivo en América Latina;1996;
L-1363;CORBO, VittorioHERNANDEZ, Leonardo;;Macroeconomic adjustment to capital inflows lessons from recent latin american and east asian experience. Ajuste macroeconomico hacia el flujo de capital lecciones desde América Latina nueva y la experiencia de Asia Oriental;1996;
L-1364;AXILROD, Stephen H.;FONDO MONETARIO INTERNACIONAL;Transformación of markets and policy instruments for open market operations. Transformación de mercados e instrumentos políticos para operaciones de mercados abiertos;1995;
L-1365;LEE, Jang-Yung;;"Implications of a surge in capital inflows available tools and consecuences for the conduct of monetary policy; Implicaciones de una oleada en flujos de capital herramienta utilizable y consecuencias por el comportamiento de política económica";1996;
L-1366;AGLIETTA, M.;;Globalización financiera, riesgo sistémico y control monetario en los países de la OCDE;1995;
L-1367;WEEKS, John;UNIVERSITY OF LONDON;Structural adjustment and the agricultural sector in Latin America and the Caribbean. Ajuste estructural y el sector agricola en Latino América y el Caribe;1995;
L-1368;BINSWANGER, Hans P.DEININGER, KlausFEDER, Gershon;;Power, distortions, revolt and reform in agricultural land relations. Poder, distorsión, revelación, y reforma en las relaciones regionales;1901;
L-1369;PEREZ, Carlota;;Modernización industrial en América Latina y la herencia de la sustitución de importaciones;1996;
L-136;MONTERO HIDALGO, Sergio;;Factibilidad;1977;
L-1370;OLMEDO CARRANZA, Bernardo;;Industrialización y sector externo en América Latina y México;1996;
L-1371;MARKUSEN, Ann;;Interaction betwen regional and industrial policies evidence from four contries. Interacción entre las políticas regional e industrial evidencias de cuatro países;1901;
L-1372;REED, David;CENDESFONDO MUNDIAL PARA LA NATURALEZA;Ajuste estructural, ambiente y desarrollo sostenible;1996;
L-1373;FISHLOW, Albert;;Inequality, poverty, and growth were do we stand?. Desigualdad, pobreza y crecimiento  tendremos nosotros derechos?;1901;
L-1374;ESQUIVEL VILLEGAS, Francisco;;Centroamérica desempeño macroeconómico y financiamiento social;1995;
L-1376;ANDERSON, Kym;;"Environmental standards and international trade; norma ambiental y comercio internacional";1901;
L-1377;PELUPESSY, Wim;;Cadena internacional del café y el medio ambiente;1997;
L-1378;TANZI, VitoSCHUKNECHT, Ludger;;Reforma del Estado en países industriales;1996;
L-1379;STIGLITZ, Joseph E.;;The role of government in economic development. El rol del gobierno en el desarrollo económico;1901;
L-137;CARAFA, CarlosGONZALEZ, GerardoRAMIREZ, Valeri;MINISTERIO DE PLANEAMIENTO;Luz y sombra de la vida mortalidad y fecundidad en Bolivia;1983;
L-1380;LERDA, Juan Carlos;;Globalización y pérdida de autonomía de las autoridades fiscales, bancarias y monetarias;1996;
L-1381;HOLDEN, PaulRAJAPATIRANA, Sarath;;"Unshackling the private sector a Latin American Story; Liberación del sector privado una historia de América Latina";1995;
L-1382;GRENAWAY, DavidMORRISSEY, Oliver;;"Structural adjustment and liberalisation in developing countries what lesson have we learned?; Ajuste estructural y liberalización en países desarrollados ¿Qué instrucción tienen los expertos?";1901;
L-1383;ENGELBERTS, J.E.C.;;"Secuence of economic reform and adjustment in Costa Rica; Secuencia de la reforma económica y ajuste en Costa Rica";1994;
L-1384;PELUPESSY, Wim;;"UCME educational programme in economics practical aspects of trade policy; Programa educacional UCME en economías. Aspectos prácticos de política industrial";1901;
L-1386;ARRIETA ABDALLA, Mario;ILDIS;Investigación y extensión agropecuaria arcaicos y modernos ante el siglo XXI;1993;
L-1387;;ILDIS;Debate agrario. Estrategia agropecuaria en La Paz;1997;
L-138;ALMARAZ PAZ, SergioCESPEDES, AugustoQUIROGA, MarceloTABOADA, NéstorBAPTISTA, Mariano;;Para abrir el diálogo (ensayos, 1961-1967);1979;
L-1391;GARCIA PERELA, InmaculadaGIL ARAUJO, SandraMALGESINI, GracielaDEL SANTO, Alvaro;CENTRO DE INVESTIGACION PARA LA PAZ;Guía eco-eco economía y ecología de América Central y el Caribe;1997;
L-1392;RICO FRONTAURA, Víctor;ILDIS;Documento de trabajo. Las relaciones entre el Grupo Andino y la Unión Europea;1996;
L-1395;SECRETARIADO DE LA CUMBRE DE LAS AMERICAS SOBRE DESARROLLO SOSTENIBLE;ARANIBAR, AntonioGREBE, HorstROMERO, FernandoKAKABADSE, Yolanda;Desarrollo sostenible en las Américas. Contribuciones de la Cumbre de Santa Cruz;1997;
L-1396;;MULLER Y ASOCIADOS;Acuerdos y documentos de la Nueva Política Económica 1986;1987;
L-1397;;MULLER Y ASOCIADOS;Estadísticas socio-económicas 1996;1997;
L-1398;PRUDENCIO BOHRT, Julio;ILDIS;¿Exportar es progresar?. Análisis de las exportaciones bolivianas el caso del café;1994;
L-1399;ARRIETA ABDALLA, Mario;ILDIS;Tenencia actual de la tierra en Bolivia;1993;
L-139;CESPEDES ARGANDOÑA, Guido;UMSS;América Latina frente a la crisis económica internacional;1984;
L-13;ORTIZ MENA, Antonio;BID;América Latina en desarrollo una visión desde el BID, exposiciones y documentos 1976-1980;1980;
L-1400;KIETZ, Renate;ILDIS;Compendio del amaranto rescate y revitalización en Bolivia;1992;
L-1401;;ILDIS;Taller de investigaciones socio-económicas. La reactivación económica;1987;
